currency_pair,date,rate
USD/EUR,2025-07-01,0.838175
USD/GBP,2025-07-01,0.730681
USD/INR,2025-07-01,80.325396
EUR/GBP,2025-07-01,0.871889
EUR/INR,2025-07-01,98.532164
GBP/INR,2025-07-01,110.240945
USD/EUR,2025-07-02,0.891541
USD/GBP,2025-07-02,0.712749
USD/INR,2025-07-02,80.672824
EUR/GBP,2025-07-02,0.84696
EUR/INR,2025-07-02,96.069235
GBP/INR,2025-07-02,105.321704
USD/EUR,2025-07-03,0.825387
USD/GBP,2025-07-03,0.775025
USD/INR,2025-07-03,83.673638
EUR/GBP,2025-07-03,0.879555
EUR/INR,2025-07-03,95.520836
GBP/INR,2025-07-03,113.537939
USD/EUR,2025-07-04,0.876558
USD/GBP,2025-07-04,0.712456
USD/INR,2025-07-04,80.036231
EUR/GBP,2025-07-04,0.872032
EUR/INR,2025-07-04,99.086057
GBP/INR,2025-07-04,105.422887
USD/EUR,2025-07-05,0.855467
USD/GBP,2025-07-05,0.759808
USD/INR,2025-07-05,80.509594
EUR/GBP,2025-07-05,0.889399
EUR/INR,2025-07-05,97.279446
GBP/INR,2025-07-05,110.225809
USD/EUR,2025-07-06,0.857486
USD/GBP,2025-07-06,0.711552
USD/INR,2025-07-06,84.082521
EUR/GBP,2025-07-06,0.850856
EUR/INR,2025-07-06,98.145093
GBP/INR,2025-07-06,108.581272
USD/EUR,2025-07-07,0.814411
USD/GBP,2025-07-07,0.722099
USD/INR,2025-07-07,85.673704
EUR/GBP,2025-07-07,0.867495
EUR/INR,2025-07-07,99.436566
GBP/INR,2025-07-07,107.873195
USD/EUR,2025-07-08,0.847443
USD/GBP,2025-07-08,0.749382
USD/INR,2025-07-08,81.725354
EUR/GBP,2025-07-08,0.919287
EUR/INR,2025-07-08,95.425189
GBP/INR,2025-07-08,112.75702
USD/EUR,2025-07-09,0.85454
USD/GBP,2025-07-09,0.757169
USD/INR,2025-07-09,86.085462
EUR/GBP,2025-07-09,0.853764
EUR/INR,2025-07-09,95.164455
GBP/INR,2025-07-09,113.297488
USD/EUR,2025-07-10,0.866756
USD/GBP,2025-07-10,0.783515
USD/INR,2025-07-10,79.751512
EUR/GBP,2025-07-10,0.854123
EUR/INR,2025-07-10,101.710684
GBP/INR,2025-07-10,111.840252
USD/EUR,2025-07-11,0.844582
USD/GBP,2025-07-11,0.77866
USD/INR,2025-07-11,83.014948
EUR/GBP,2025-07-11,0.839897
EUR/INR,2025-07-11,95.544978
GBP/INR,2025-07-11,107.823125
USD/EUR,2025-07-12,0.866755
USD/GBP,2025-07-12,0.772552
USD/INR,2025-07-12,82.237945
EUR/GBP,2025-07-12,0.901595
EUR/INR,2025-07-12,93.440966
GBP/INR,2025-07-12,107.853409
USD/EUR,2025-07-13,0.86841
USD/GBP,2025-07-13,0.724326
USD/INR,2025-07-13,83.618306
EUR/GBP,2025-07-13,0.91269
EUR/INR,2025-07-13,101.195348
GBP/INR,2025-07-13,111.937345
USD/EUR,2025-07-14,0.886491
USD/GBP,2025-07-14,0.741413
USD/INR,2025-07-14,81.990343
EUR/GBP,2025-07-14,0.869934
EUR/INR,2025-07-14,92.79655
GBP/INR,2025-07-14,106.471957
USD/EUR,2025-07-15,0.843625
USD/GBP,2025-07-15,0.776133
USD/INR,2025-07-15,81.940975
EUR/GBP,2025-07-15,0.843101
EUR/INR,2025-07-15,99.804757
GBP/INR,2025-07-15,106.25266
USD/EUR,2025-07-16,0.81083
USD/GBP,2025-07-16,0.761242
USD/INR,2025-07-16,81.11284
EUR/GBP,2025-07-16,0.879807
EUR/INR,2025-07-16,96.113897
GBP/INR,2025-07-16,105.272006
USD/EUR,2025-07-17,0.864234
USD/GBP,2025-07-17,0.71321
USD/INR,2025-07-17,79.524397
EUR/GBP,2025-07-17,0.837653
EUR/INR,2025-07-17,93.241007
GBP/INR,2025-07-17,109.680542
USD/EUR,2025-07-18,0.849217
USD/GBP,2025-07-18,0.777669
USD/INR,2025-07-18,78.606493
EUR/GBP,2025-07-18,0.886374
EUR/INR,2025-07-18,96.73854
GBP/INR,2025-07-18,109.084912
USD/EUR,2025-07-19,0.831039
USD/GBP,2025-07-19,0.718373
USD/INR,2025-07-19,80.019218
EUR/GBP,2025-07-19,0.873579
EUR/INR,2025-07-19,97.300868
GBP/INR,2025-07-19,110.78644
USD/EUR,2025-07-20,0.808492
USD/GBP,2025-07-20,0.718328
USD/INR,2025-07-20,85.10918
EUR/GBP,2025-07-20,0.87596
EUR/INR,2025-07-20,94.801318
GBP/INR,2025-07-20,109.946707
USD/EUR,2025-07-21,0.837145
USD/GBP,2025-07-21,0.775727
USD/INR,2025-07-21,79.021382
EUR/GBP,2025-07-21,0.8555
EUR/INR,2025-07-21,93.489156
GBP/INR,2025-07-21,107.703563
USD/EUR,2025-07-22,0.803739
USD/GBP,2025-07-22,0.709729
USD/INR,2025-07-22,84.457742
EUR/GBP,2025-07-22,0.869858
EUR/INR,2025-07-22,95.244422
GBP/INR,2025-07-22,114.217061
USD/EUR,2025-07-23,0.849741
USD/GBP,2025-07-23,0.747394
USD/INR,2025-07-23,85.760335
EUR/GBP,2025-07-23,0.842926
EUR/INR,2025-07-23,94.30984
GBP/INR,2025-07-23,111.864912
USD/EUR,2025-07-24,0.818877
USD/GBP,2025-07-24,0.726445
USD/INR,2025-07-24,81.09276
EUR/GBP,2025-07-24,0.887213
EUR/INR,2025-07-24,96.784804
GBP/INR,2025-07-24,108.350366
USD/EUR,2025-07-25,0.852805
USD/GBP,2025-07-25,0.716327
USD/INR,2025-07-25,82.171635
EUR/GBP,2025-07-25,0.913622
EUR/INR,2025-07-25,98.798759
GBP/INR,2025-07-25,105.280934
USD/EUR,2025-07-26,0.856455
USD/GBP,2025-07-26,0.721671
USD/INR,2025-07-26,83.827026
EUR/GBP,2025-07-26,0.865179
EUR/INR,2025-07-26,97.379874
GBP/INR,2025-07-26,113.78608
USD/EUR,2025-07-27,0.82936
USD/GBP,2025-07-27,0.722083
USD/INR,2025-07-27,82.490302
EUR/GBP,2025-07-27,0.832493
EUR/INR,2025-07-27,92.788563
GBP/INR,2025-07-27,107.093341
USD/EUR,2025-07-28,0.873751
USD/GBP,2025-07-28,0.766774
USD/INR,2025-07-28,84.768297
EUR/GBP,2025-07-28,0.84291
EUR/INR,2025-07-28,95.944886
GBP/INR,2025-07-28,107.257472
USD/EUR,2025-07-29,0.836445
USD/GBP,2025-07-29,0.770346
USD/INR,2025-07-29,85.342319
EUR/GBP,2025-07-29,0.90437
EUR/INR,2025-07-29,95.343448
GBP/INR,2025-07-29,112.837245
USD/EUR,2025-07-30,0.840967
USD/GBP,2025-07-30,0.779591
USD/INR,2025-07-30,80.704431
EUR/GBP,2025-07-30,0.858233
EUR/INR,2025-07-30,101.045572
GBP/INR,2025-07-30,113.942027
USD/EUR,2025-07-31,0.840808
USD/GBP,2025-07-31,0.767544
USD/INR,2025-07-31,83.611774
EUR/GBP,2025-07-31,0.855234
EUR/INR,2025-07-31,98.978799
GBP/INR,2025-07-31,110.668355
USD/EUR,2025-08-01,0.881653
USD/GBP,2025-08-01,0.724675
USD/INR,2025-08-01,81.685505
EUR/GBP,2025-08-01,0.853189
EUR/INR,2025-08-01,95.806965
GBP/INR,2025-08-01,105.724188
USD/EUR,2025-08-02,0.867654
USD/GBP,2025-08-02,0.748031
USD/INR,2025-08-02,83.853214
EUR/GBP,2025-08-02,0.899698
EUR/INR,2025-08-02,91.878195
GBP/INR,2025-08-02,108.340228
USD/EUR,2025-08-03,0.810542
USD/GBP,2025-08-03,0.705368
USD/INR,2025-08-03,81.406817
EUR/GBP,2025-08-03,0.838411
EUR/INR,2025-08-03,97.116048
GBP/INR,2025-08-03,107.43563
USD/EUR,2025-08-04,0.843575
USD/GBP,2025-08-04,0.729493
USD/INR,2025-08-04,78.892027
EUR/GBP,2025-08-04,0.898119
EUR/INR,2025-08-04,92.137983
GBP/INR,2025-08-04,108.439254
USD/EUR,2025-08-05,0.809084
USD/GBP,2025-08-05,0.737699
USD/INR,2025-08-05,81.397201
EUR/GBP,2025-08-05,0.869472
EUR/INR,2025-08-05,97.346637
GBP/INR,2025-08-05,106.32866
USD/EUR,2025-08-06,0.825086
USD/GBP,2025-08-06,0.705939
USD/INR,2025-08-06,81.562224
EUR/GBP,2025-08-06,0.894052
EUR/INR,2025-08-06,94.042944
GBP/INR,2025-08-06,113.353675
USD/EUR,2025-08-07,0.870792
USD/GBP,2025-08-07,0.709531
USD/INR,2025-08-07,82.64379
EUR/GBP,2025-08-07,0.852363
EUR/INR,2025-08-07,99.906158
GBP/INR,2025-08-07,110.912646
USD/EUR,2025-08-08,0.87345
USD/GBP,2025-08-08,0.717712
USD/INR,2025-08-08,84.358203
EUR/GBP,2025-08-08,0.851389
EUR/INR,2025-08-08,96.263524
GBP/INR,2025-08-08,109.717397
USD/EUR,2025-08-09,0.869514
USD/GBP,2025-08-09,0.772988
USD/INR,2025-08-09,83.611927
EUR/GBP,2025-08-09,0.889155
EUR/INR,2025-08-09,91.545396
GBP/INR,2025-08-09,113.622695
USD/EUR,2025-08-10,0.878966
USD/GBP,2025-08-10,0.757086
USD/INR,2025-08-10,81.658269
