id,transaction_id,name,item_type_category_id,amount,quantity,confidence
933a9043-9382-5f5f-bf09-b1590f605f9c,8bda99b2-82e7-5690-b6d3-3cd773f95fd1,"Behr Premium Plus interior paint, 1 gal",b37366c7-b51f-5b63-95f1-e4bd96f6ad3e,16.94,1,0.8
296cf6fd-4284-5cba-8795-934b47892ea7,8bda99b2-82e7-5690-b6d3-3cd773f95fd1,"Ryobi drill bit set, 20 piece",b37366c7-b51f-5b63-95f1-e4bd96f6ad3e,10.70,1,0.92
3b0a6fea-98ad-5a57-9ad2-92663d517f2d,8bda99b2-82e7-5690-b6d3-3cd773f95fd1,"Miracle-Gro potting mix, 25 qt",b37366c7-b51f-5b63-95f1-e4bd96f6ad3e,16.80,3,0.7
81a634cd-09f2-5c45-ac5f-ed3d8a49c387,8bda99b2-82e7-5690-b6d3-3cd773f95fd1,"Husky heavy-duty storage bin, 27 gal",b37366c7-b51f-5b63-95f1-e4bd96f6ad3e,12.95,3,0.71
e444e0dc-52c8-55eb-9f68-6b4d251498ea,8bda99b2-82e7-5690-b6d3-3cd773f95fd1,"Ryobi drill bit set, 20 piece",b37366c7-b51f-5b63-95f1-e4bd96f6ad3e,35.23,3,0.87
01a822d1-50f6-5d02-9f0e-155c8e268763,7ff48ec6-da1b-5a69-869c-f3a43808240b,"Duracell AA batteries, 40 pack",dfc56eef-4ac9-50ce-b4c8-81cc669c4374,69.29,2,0.79
c8f074b4-9562-5ca7-b3e9-a8d89d671de5,7ff48ec6-da1b-5a69-869c-f3a43808240b,"Kirkland organic chicken breast, family pack",968cb096-c18d-575b-81f5-6d06a9ee3a17,71.63,1,0.71
bbd24170-ed2f-5186-b504-0354c56646db,7ff48ec6-da1b-5a69-869c-f3a43808240b,"Kirkland organic chicken breast, family pack",968cb096-c18d-575b-81f5-6d06a9ee3a17,87.95,2,0.8
fde4ca68-e88e-575b-ae4f-a4a86c079db3,386d07de-ef1b-51a2-aeb6-abb465f1dcb5,"Behr Premium Plus interior paint, 1 gal",b37366c7-b51f-5b63-95f1-e4bd96f6ad3e,37.46,2,0.97
26379289-f9c6-52c1-8e57-104032a40dd0,386d07de-ef1b-51a2-aeb6-abb465f1dcb5,"Behr Premium Plus interior paint, 1 gal",b37366c7-b51f-5b63-95f1-e4bd96f6ad3e,33.96,3,0.83
