id,loan_id,installment_no,due_date,principal_component,interest_component,balance_after,status
1bc2ee18-6dab-5586-83ce-7a9e88a67076,3c986045-865c-5934-a279-05016217046e,1,2025-07-01,402.50,2437.50,449597.50,paid
eef11c7f-7010-50a6-92b2-66d51bbbd3c4,3c986045-865c-5934-a279-05016217046e,2,2025-08-01,404.68,2435.32,449192.82,paid
1d1102c8-2ecf-528d-a0ad-c3b8cf000a04,3c986045-865c-5934-a279-05016217046e,3,2025-09-01,406.87,2433.13,448785.95,paid
8d10ad6a-4393-5889-8cab-6095b18f0319,3c986045-865c-5934-a279-05016217046e,4,2025-10-01,409.08,2430.92,448376.87,paid
7a7fc1a0-56c5-5d85-9908-35427da1a604,3c986045-865c-5934-a279-05016217046e,5,2025-11-01,411.29,2428.71,447965.58,paid
da432b88-c959-50a0-b0af-cd5f04af00ee,3c986045-865c-5934-a279-05016217046e,6,2025-12-01,413.52,2426.48,447552.06,paid
3258a768-1a0e-5f9a-883f-8685e5b2175c,3c986045-865c-5934-a279-05016217046e,7,2026-01-01,415.76,2424.24,447136.30,paid
44c580c4-0aeb-5921-8a2e-14bd2ab08c5c,3c986045-865c-5934-a279-05016217046e,8,2026-02-01,418.01,2421.99,446718.29,paid
795697f4-b9ec-508a-b308-11e1f370e221,3c986045-865c-5934-a279-05016217046e,9,2026-03-01,420.28,2419.72,446298.01,paid
20be51bc-e73e-53b8-875b-afcf95c35f6c,3c986045-865c-5934-a279-05016217046e,10,2026-04-01,422.55,2417.45,445875.46,paid
7ebd9c1c-49a1-5481-85be-ae413f8ec592,3c986045-865c-5934-a279-05016217046e,11,2026-05-01,424.84,2415.16,445450.62,paid
df6b8f55-2d75-5810-96f4-c4b2d596c6b1,3c986045-865c-5934-a279-05016217046e,12,2026-06-01,427.14,2412.86,445023.48,paid
44846325-677a-5834-8a61-478826cfc34d,fc4f6e14-1530-5bfc-a695-fb15e4ed8606,1,2025-07-01,522.50,122.50,34477.50,paid
6eaa34bd-5639-5f75-92dc-77b44e9a7ab8,fc4f6e14-1530-5bfc-a695-fb15e4ed8606,2,2025-08-15,524.33,120.67,33953.17,paid
56c3fbae-c6a0-5147-8969-2465087bc57a,fc4f6e14-1530-5bfc-a695-fb15e4ed8606,3,2025-09-15,526.16,118.84,33427.01,paid
4128d77f-a098-575b-be2a-01fc1b1086d4,fc4f6e14-1530-5bfc-a695-fb15e4ed8606,4,2025-10-15,528.01,116.99,32899.00,paid
edfdb72e-601e-568c-943e-73dcf343d420,fc4f6e14-1530-5bfc-a695-fb15e4ed8606,5,2025-11-15,529.85,115.15,32369.15,paid
f85b3884-4a0f-5948-9a0c-f6042e637cc6,fc4f6e14-1530-5bfc-a695-fb15e4ed8606,6,2025-12-15,531.71,113.29,31837.44,paid
10bc0073-8f85-51a7-a694-676ebdd0cbeb,fc4f6e14-1530-5bfc-a695-fb15e4ed8606,7,2026-01-15,533.57,111.43,31303.87,paid
a89acd80-3333-5f48-baa3-ceef9e5b97b4,fc4f6e14-1530-5bfc-a695-fb15e4ed8606,8,2026-02-15,535.44,109.56,30768.43,paid
32df2b25-9cd0-52d7-88d9-16506f066f88,fc4f6e14-1530-5bfc-a695-fb15e4ed8606,9,2026-03-15,537.31,107.69,30231.12,paid
4a3fcc4d-f0a8-5dad-bb95-03e3fd4309bd,fc4f6e14-1530-5bfc-a695-fb15e4ed8606,10,2026-04-15,539.19,105.81,29691.93,paid
e6d433fa-e6b3-5ed7-ab29-cd8d335d006c,fc4f6e14-1530-5bfc-a695-fb15e4ed8606,11,2026-05-15,541.08,103.92,29150.85,paid
6724af66-0d72-50e5-b105-56373f51e254,fc4f6e14-1530-5bfc-a695-fb15e4ed8606,12,2026-06-15,542.97,102.03,28607.88,paid
