id,household_id,account_id,owner_user_id,merchant_id,amount,currency,base_amount,fx_rate,txn_date,category_id,status,source_document_id,source_channel,flags,notes,confidence,external_id,created_at
b8c45911-4460-58a8-8c3e-80cd1e18bf91,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,494fb35b-ea2e-5ea2-8e6a-da836c11e230,dac49113-c1bb-5b26-8af5-745de0febf46,68f0922a-39b9-507c-92a6-e2500de5f321,-167.57,USD,-167.57,,2025-07-01,83564403-ac9f-5db5-a4fb-344879db34db,confirmed,,manual,{},COSTCO WHSE #2796,0.82,,2025-07-01T00:00:00
4206ead7-dbd9-5961-98b6-2318d165140c,532788bd-1641-5dc9-b246-c4397ed4af60,c7c53ab9-c6fe-5a0b-b3a8-36f12237d898,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,bbc36a1d-bf0a-5d6c-ae4f-ff309f63cf39,-380.42,USD,-380.42,,2025-07-02,d4c1f95d-47e8-52f6-8df9-eeb79b606fda,confirmed,,plaid,{},BEST BUY,0.99,,2025-07-02T00:00:00
3ba43187-d312-5e8a-a11d-6177b5f0ead1,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,494fb35b-ea2e-5ea2-8e6a-da836c11e230,dac49113-c1bb-5b26-8af5-745de0febf46,d97309cb-eeb8-505a-9948-eec2d33394db,-254.88,USD,-254.88,,2025-07-02,bdba84aa-8286-5caf-8252-985e2f2f3c1a,confirmed,,manual,{},HOME DEPOT #7126 PURCHASE,0.85,,2025-07-02T00:00:00
7fe2bd37-3860-5c13-9ba1-9d0585997283,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,494fb35b-ea2e-5ea2-8e6a-da836c11e230,dac49113-c1bb-5b26-8af5-745de0febf46,bbc36a1d-bf0a-5d6c-ae4f-ff309f63cf39,-382.53,USD,-382.53,,2025-07-02,c163ef62-5201-5cb2-bf0d-781443a4e5aa,confirmed,,manual,{},BEST BUY,0.86,,2025-07-02T00:00:00
6f300bcd-0b65-5b98-8b06-e3e0868e8d87,532788bd-1641-5dc9-b246-c4397ed4af60,c7c53ab9-c6fe-5a0b-b3a8-36f12237d898,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,41d50eda-694c-5967-8780-12cd00399dab,-4.70,USD,-4.70,,2025-07-03,6beed52e-4ccd-593d-890d-ce94bd2b2745,confirmed,,manual,{},DUNKIN',0.81,,2025-07-03T00:00:00
c1abb408-a1d7-585f-b73c-4617a406d969,532788bd-1641-5dc9-b246-c4397ed4af60,c7c53ab9-c6fe-5a0b-b3a8-36f12237d898,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,d97309cb-eeb8-505a-9948-eec2d33394db,-135.24,USD,-135.24,,2025-07-03,ccb8e507-d6df-51d3-9c6b-2af43847184c,confirmed,,manual,{},HOME DEPOT #5092 DEBIT,1.0,,2025-07-03T00:00:00
5d95fb3f-2298-5a67-9b45-a890113590a4,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,de3e3182-4126-54b8-a5b3-1fbacfb03c9e,dac49113-c1bb-5b26-8af5-745de0febf46,8b093965-626b-562e-ba34-3a2ae16c7328,-25.40,USD,-25.40,,2025-07-03,8d5d7df5-91ea-5998-8eea-33179599a118,confirmed,,manual,{'recurring': True},PLANET FITNESS,0.78,,2025-07-03T00:00:00
a0843dd0-e34e-5b9f-b1a8-541aaf23aae4,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,de3e3182-4126-54b8-a5b3-1fbacfb03c9e,dac49113-c1bb-5b26-8af5-745de0febf46,41d50eda-694c-5967-8780-12cd00399dab,-4.08,USD,-4.08,,2025-07-03,5638caff-364a-55b0-9433-607e4844f64b,draft,,manual,{},DUNKIN',0.72,,2025-07-03T00:00:00
26154920-3298-50b1-ab7e-508b076a2d21,532788bd-1641-5dc9-b246-c4397ed4af60,859c8fb0-d2a2-5d68-ad57-6ad36dcbffcc,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,d97309cb-eeb8-505a-9948-eec2d33394db,-207.44,USD,-207.44,,2025-07-04,ccb8e507-d6df-51d3-9c6b-2af43847184c,confirmed,,manual,{},HOME DEPOT #2964 PURCHASE,0.83,,2025-07-04T00:00:00
7b2e1690-963a-5f24-ad7e-17be3bfdbc16,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,494fb35b-ea2e-5ea2-8e6a-da836c11e230,dac49113-c1bb-5b26-8af5-745de0febf46,d97309cb-eeb8-505a-9948-eec2d33394db,-90.70,USD,-90.70,,2025-07-04,077786c2-88f8-517e-9a65-266b802523c4,confirmed,,manual,{},HOME DEPOT #8491 PAYMENT,0.89,,2025-07-04T00:00:00
7e8f4f99-a433-51d9-a3ee-7695c7516ba8,532788bd-1641-5dc9-b246-c4397ed4af60,c7c53ab9-c6fe-5a0b-b3a8-36f12237d898,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,d553f2a4-b2c8-570b-8de4-81fa86437869,-133.10,USD,-133.10,,2025-07-05,83564403-ac9f-5db5-a4fb-344879db34db,confirmed,,manual,{},WALMART 3584 ,1.0,,2025-07-05T00:00:00
084f17bc-59cf-5d36-a2a1-0f240cfd8e48,532788bd-1641-5dc9-b246-c4397ed4af60,859c8fb0-d2a2-5d68-ad57-6ad36dcbffcc,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,c9ef2dab-c18a-5c65-bdc7-b6b34f18356e,-37.86,USD,-37.86,,2025-07-05,78973b8a-ca75-5365-a413-1efb5fe538d0,confirmed,,plaid,{},CVS PHARMACY #2891,0.88,,2025-07-05T00:00:00
6eb62a28-808b-5418-aab5-a8a7c617bb84,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,de3e3182-4126-54b8-a5b3-1fbacfb03c9e,dac49113-c1bb-5b26-8af5-745de0febf46,d97309cb-eeb8-505a-9948-eec2d33394db,-41.31,USD,-41.31,,2025-07-05,ccb8e507-d6df-51d3-9c6b-2af43847184c,confirmed,,plaid,{},HOME DEPOT #1722 DEBIT,0.78,,2025-07-05T00:00:00
5fdda260-29cf-5501-8cba-22c71ecbd206,532788bd-1641-5dc9-b246-c4397ed4af60,c7c53ab9-c6fe-5a0b-b3a8-36f12237d898,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,4af9f4ae-4781-5cb6-8281-5c9f09d25ac0,-70.01,USD,-70.01,,2025-07-06,aee92619-ae79-565c-a988-70e59f94bc78,confirmed,,manual,{'recurring': True},TARGET 8041 PURCHASE,0.94,,2025-07-06T00:00:00
de69c577-e446-51be-938e-6d6f79bb2357,532788bd-1641-5dc9-b246-c4397ed4af60,c7c53ab9-c6fe-5a0b-b3a8-36f12237d898,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,d97309cb-eeb8-505a-9948-eec2d33394db,-115.80,USD,-115.80,,2025-07-06,ccb8e507-d6df-51d3-9c6b-2af43847184c,draft,,plaid,{'recurring': True},HOME DEPOT #4878 PURCHASE,0.71,,2025-07-06T00:00:00
fbf2320f-96c1-5147-bf19-677e8050970b,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,494fb35b-ea2e-5ea2-8e6a-da836c11e230,dac49113-c1bb-5b26-8af5-745de0febf46,c9ef2dab-c18a-5c65-bdc7-b6b34f18356e,-14.34,USD,-14.34,,2025-07-06,dbdc8686-ec42-5ce3-ba3f-5424fe985322,confirmed,,manual,{},CVS PHARMACY #1634,0.95,,2025-07-06T00:00:00
922e63ae-92fd-5b6d-887f-14b96364bb8a,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,de3e3182-4126-54b8-a5b3-1fbacfb03c9e,dac49113-c1bb-5b26-8af5-745de0febf46,b7475634-9a3f-5b47-9978-5578a1ceb107,-218.80,USD,-218.80,,2025-07-06,ba8264d5-be92-573d-bee0-fc77ba1eba53,confirmed,,manual,{},MACY'S,0.95,,2025-07-06T00:00:00
f395769c-4b27-53da-b4bb-0684ecbcdd92,532788bd-1641-5dc9-b246-c4397ed4af60,859c8fb0-d2a2-5d68-ad57-6ad36dcbffcc,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,c905592e-a82b-5c8e-904a-d39c475430ef,-40.70,USD,-40.70,,2025-07-07,faa9d7bb-1220-5a93-8675-adf7fee33a10,confirmed,,manual,{'recurring': True},SHELL OIL 1027 PURCHASE,0.98,,2025-07-07T00:00:00
a1353c3f-d6f7-502d-86cb-6ad5af1209fa,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,de3e3182-4126-54b8-a5b3-1fbacfb03c9e,dac49113-c1bb-5b26-8af5-745de0febf46,4070c9b0-7b80-5ca4-9dcd-613c6df99208,-213.93,USD,-213.93,,2025-07-07,b7ec2236-fab9-5f74-9e59-c0476c5dccf2,confirmed,,plaid,{},HILTON,0.98,,2025-07-07T00:00:00
5fcfefe8-0b23-5b2f-b5c1-14b4e3622f0c,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,494fb35b-ea2e-5ea2-8e6a-da836c11e230,dac49113-c1bb-5b26-8af5-745de0febf46,f573b94f-d6d1-51c3-a8dd-9f4c61a57329,-84.75,USD,-84.75,,2025-07-07,0c9330d7-1154-5540-9033-ff3ccdfd842d,confirmed,,plaid,{},VERIZON WIRELESS 6279,0.94,,2025-07-07T00:00:00
1442e9c2-a480-5fcf-9d95-8d48f5e6066c,532788bd-1641-5dc9-b246-c4397ed4af60,859c8fb0-d2a2-5d68-ad57-6ad36dcbffcc,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,f573b94f-d6d1-51c3-a8dd-9f4c61a57329,-108.73,USD,-108.73,,2025-07-08,0c9330d7-1154-5540-9033-ff3ccdfd842d,confirmed,,manual,{},VERIZON WIRELESS 3414,0.93,,2025-07-08T00:00:00
f1491c3d-a6ef-538b-a79a-9fbb2197be2a,532788bd-1641-5dc9-b246-c4397ed4af60,859c8fb0-d2a2-5d68-ad57-6ad36dcbffcc,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,d97309cb-eeb8-505a-9948-eec2d33394db,-236.85,USD,-236.85,,2025-07-09,ccb8e507-d6df-51d3-9c6b-2af43847184c,confirmed,,plaid,{'recurring': True},HOME DEPOT #9486 ,0.74,,2025-07-09T00:00:00
75ad450e-6911-575f-9d8d-e8d104ced42c,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,494fb35b-ea2e-5ea2-8e6a-da836c11e230,dac49113-c1bb-5b26-8af5-745de0febf46,2d8b3f27-58fe-5583-8d7e-995c79ade98a,-21.85,USD,-21.85,,2025-07-09,83564403-ac9f-5db5-a4fb-344879db34db,confirmed,,manual,{},KROGER #7275,0.8,,2025-07-09T00:00:00
8a76f65c-fda2-53d3-856c-e482b1054f38,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,494fb35b-ea2e-5ea2-8e6a-da836c11e230,dac49113-c1bb-5b26-8af5-745de0febf46,b8eadc23-f654-5613-9f2a-cf111cf0ed88,-49.98,USD,-49.98,,2025-07-10,83564403-ac9f-5db5-a4fb-344879db34db,confirmed,,manual,{},TRADER JOE'S #4595,0.9,,2025-07-10T00:00:00
